0.0;76.7963;76.6047;76.5593;76.1755;76.2809;77.1818;77.2218;76.9938;76.6179;76.7013;77.4260;77.3841;77.3061;76.9326;77.0396;77.4650;77.3873;76.9223;77.0806;77.0654;77.4651;77.2446;76.8921;76.9943;77.0216;76.9904
0.5;76.7818;76.6117;76.5765;76.1823;76.2104;77.2020;77.2167;77.0381;76.5485;76.6613;77.4156;77.3764;77.3035;76.9047;77.0074;77.4310;77.3614;76.9385;77.0536;77.0470;77.4457;77.2490;76.8560;76.9657;77.0043;76.9756
1.0;76.7533;76.5859;76.6040;76.1262;76.2101;77.1778;77.1646;76.9909;76.5935;76.6892;77.3915;77.3528;77.2758;76.9110;77.0197;77.3956;77.3146;76.9527;77.0589;77.0524;77.4232;77.2388;76.8855;77.0450;77.0263;76.9696
1.5;76.8309;76.6375;76.5766;76.1770;76.2375;77.1875;77.1951;77.0164;76.5868;76.6608;77.4026;77.3412;77.2540;76.8896;77.0033;77.4437;77.3711;76.9331;77.0200;77.0085;77.4304;77.2644;76.8612;76.9946;77.0211;76.9738
2.0;76.8296;76.6421;76.5863;76.1817;76.2621;77.2230;77.2073;77.0322;76.6086;76.7072;77.4386;77.3726;77.2880;76.9368;76.9938;77.4287;77.3817;76.9312;77.0550;77.0088;77.4443;77.2490;76.8892;76.9600;76.9612;76.9848
2.5;76.8083;76.6260;76.5479;76.1799;76.2315;77.2168;77.1930;77.0368;76.5401;76.6367;77.4112;77.3412;77.2700;76.8371;76.9477;77.4226;77.3746;76.8674;77.0242;76.9890;77.4199;77.2575;76.8155;76.9712;76.9577;76.957
3.0;76.8050;76.6022;76.5825;76.1787;76.2671;77.1631;77.1985;76.9906;76.5711;76.6608;77.4551;77.3972;77.2791;76.8913;76.9812;77.4543;77.3878;76.9017;76.9980;76.9625;77.4174;77.2598;76.7992;76.9423;76.9560;76.9641
3.5;76.7904;76.5723;76.5196;76.1335;76.2654;77.1706;77.1568;76.9913;76.5999;76.6517;77.4189;77.3187;77.2537;76.8713;77.0283;77.4079;77.3369;76.9854;77.1213;77.0828;77.3946;77.2334;76.9522;76.9756;76.9725;76.9682
4.0;76.7657;76.5673;76.5105;76.1767;76.2703;77.1863;77.1682;76.9962;76.5943;76.6755;77.4255;77.3363;77.2461;76.8813;77.0064;77.4026;77.3223;76.9094;77.0009;76.9870;77.4087;77.2148;76.8517;76.9443;76.9514;76.952
4.5;76.7463;76.6038;76.5329;76.1441;76.2773;77.1707;77.1517;76.9586;76.6061;76.6907;77.3869;77.3382;77.2635;76.9039;76.9968;77.3993;77.3119;76.9324;77.0795;77.0479;77.3954;77.2016;76.8631;76.9649;76.9836;76.958
5.0;76.7925;76.6429;76.5361;76.1804;76.2787;77.1933;77.1765;76.9968;76.5968;76.6822;77.4094;77.3543;77.3056;76.8808;77.0009;77.4368;77.3787;76.8847;77.0890;77.0484;77.4050;77.2141;76.8734;77.0234;77.0593;76.9776
5.5;76.7948;76.5873;76.5465;76.1758;76.2194;77.2008;77.1794;77.0265;76.5948;76.6668;77.4390;77.3402;77.2312;76.8562;76.9756;77.4099;77.3292;76.9175;77.0105;77.0166;77.4432;77.2448;76.8616;76.9741;77.0294;76.9628
